STATE CD,STATE,Month,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,Filing %age as on 30th Apr 2025,,
34,Puducherry,2018-01-01T00:00:00Z,9858,7544,1453,8997,0.912659769,,
2,Himachal Pradesh,2018-03-01T00:00:00Z,67470,48805,12767,61572,0.91258337,,
18,Assam,2022-06-01T00:00:00Z,178312,58959,161829,162709,0.912496074,,
34,Puducherry,2021-06-01T00:00:00Z,19854,7137,10976,18113,0.912309862,,
4,Chandigarh,2020-01-01T00:00:00Z,9816,6506,2448,8954,0.912184189,,
33,Tamil Nadu,2021-01-01T00:00:00Z,726271,336997,325427,662424,0.912089289,,
22,Chhattisgarh,2021-10-01T00:00:00Z,73552,28366,38711,67077,0.911967044,,
35,Andaman and Nicobar Islands,2021-03-01T00:00:00Z,3984,1182,2451,3633,0.91189759,,
,Arunachal Pradesh,2025-02-01T00:00:00Z,11689,3477,7179,10656,0.911626315,,
34,Puducherry,2021-07-01T00:00:00Z,17743,7664,8510,16174,0.91157076,,
37,Andhra Pradesh,2021-12-01T00:00:00Z,303759,142893,134000,276893,0.911554884,,
13,Nagaland,2022-11-01T00:00:00Z,6648,2258,3802,6060,0.911552347,,
32,Kerala,2018-09-01T00:00:00Z,273181,103521,145454,248975,0.911392081,,
23,Madhya Pradesh,2018-12-01T00:00:00Z,335747,52220,253741,305961,0.91128439,,
27,Maharashtra,2017-10-01T00:00:00Z,338572,281860,26553,308413,0.910922935,,
37,Andhra Pradesh,2021-06-01T00:00:00Z,292586,114290,152230,266520,0.910911664,,
33,Tamil Nadu,2020-12-01T00:00:00Z,923873,701607,139672,841279,0.910600266,,
33,Tamil Nadu,2017-07-01T00:00:00Z,624866,493847,75077,568924,0.910473606,,
4,Chandigarh,2017-10-01T00:00:00Z,9465,8211,406,8617,0.910406762,,
34,Puducherry,2018-03-01T00:00:00Z,16887,11754,3620,15374,0.910404453,,
24,Gujarat,2017-08-01T00:00:00Z,224696,196120,8406,204526,0.910234272,,
19,West Bengal,2018-03-01T00:00:00Z,472982,343521,86994,430515,0.910214342,,
26,Dadra and Nagar Haveli,2018-12-01T00:00:00Z,7963,2295,4953,7248,0.91020972,,
18,Assam,2022-02-01T00:00:00Z,117017,44582,61911,106493,0.91006435,,
34,Puducherry,2017-10-01T00:00:00Z,9544,7581,1104,8685,0.909995809,,
25,Daman and Diu,2020-06-01T00:00:00Z,5809,3273,2013,5286,0.909967292,,
3,Punjab,2019-09-01T00:00:00Z,311089,137144,145884,283028,0.909797518,,
16,Tripura,2021-12-01T00:00:00Z,25768,12152,11286,23438,0.909577771,,
16,Tripura,2022-02-01T00:00:00Z,18607,9238,7685,16923,0.909496426,,
25,Daman and Diu,2019-03-01T00:00:00Z,6007,1789,3673,5462,0.909272515,,
37,Andhra Pradesh,2021-11-01T00:00:00Z,247584,184947,40139,225086,0.909129831,,
16,Tripura,2021-09-01T00:00:00Z,25418,11900,11207,23107,0.909080179,,
38,Ladakh,2021-12-01T00:00:00Z,5242,1821,2944,4765,0.909004197,,
6,Haryana,2020-12-01T00:00:00Z,454238,344564,68254,412818,0.908814322,,
21,Odisha,2021-12-01T00:00:00Z,266513,96956,145165,242121,0.90847726,,
9,Uttar Pradesh,2017-12-01T00:00:00Z,847512,599829,169981,769810,0.908317522,,
26,Dadra and Nagar Haveli,2018-09-01T00:00:00Z,7783,4209,2859,7068,0.908133111,,
8,Rajasthan,2018-09-01T00:00:00Z,511436,246708,217716,464424,0.90807843,,
27,Maharashtra,2018-01-01T00:00:00Z,348478,280404,36000,316404,0.907959756,,
31,Lakshadweep,2022-03-01T00:00:00Z,228,105,102,207,0.907894737,,
34,Puducherry,2017-08-01T00:00:00Z,9277,7407,1015,8422,0.907836585,,
35,Andaman and Nicobar Islands,2021-08-01T00:00:00Z,3265,1059,1903,2962,0.90719755,,
22,Chhattisgarh,2020-06-01T00:00:00Z,107995,33529,64437,97966,0.90713459,,
32,Kerala,2018-12-01T00:00:00Z,281909,49387,206258,255645,0.906835184,,
35,Andaman and Nicobar Islands,2021-11-01T00:00:00Z,3339,2114,913,3027,0.90655885,,
21,Odisha,2021-06-01T00:00:00Z,249952,57765,168784,226549,0.906370023,,
13,Nagaland,2022-06-01T00:00:00Z,7446,2174,6697,6747,0.906124093,,
32,Kerala,2020-12-01T00:00:00Z,320883,236812,53938,290750,0.906093498,,
36,Telangana,2022-12-01T00:00:00Z,432157,213067,178465,391532,0.905994812,,
21,Odisha,2021-05-01T00:00:00Z,149659,12778,122771,135549,0.905719001,,
10,Bihar,2022-09-01T00:00:00Z,481143,119435,316336,435771,0.905699553,,
23,Madhya Pradesh,2018-09-01T00:00:00Z,328946,133295,164566,297861,0.905501207,,
6,Haryana,2020-03-01T00:00:00Z,423351,295079,88180,383259,0.90529844,,
,Andaman and Nicobar Islands,2025-02-01T00:00:00Z,3902,1872,1660,3532,0.905176832,,
33,Tamil Nadu,2020-02-01T00:00:00Z,613352,454234,100897,555131,0.905077345,,
11,Sikkim,2017-12-01T00:00:00Z,4003,2811,812,3623,0.905071197,,
13,Nagaland,2023-01-01T00:00:00Z,6715,2183,3893,6076,0.904839911,,
26,Dadra and Nagar Haveli,2020-09-01T00:00:00Z,14364,8827,4170,12997,0.904831523,,
35,Andaman and Nicobar Islands,2021-10-01T00:00:00Z,3330,1162,1851,3013,0.904804805,,
13,Nagaland,2022-08-01T00:00:00Z,6418,1780,4027,5807,0.904799003,,
16,Tripura,2022-04-01T00:00:00Z,18977,7942,9227,17169,0.904726775,,
13,Nagaland,2022-07-01T00:00:00Z,6325,1820,3902,5722,0.904664032,,
37,Andhra Pradesh,2021-09-01T00:00:00Z,299772,146330,124851,271181,0.904624181,,
16,Tripura,2022-07-01T00:00:00Z,19402,8474,9077,17551,0.904597464,,
6,Haryana,2019-12-01T00:00:00Z,424443,279971,103961,383932,0.904554911,,
18,Assam,2022-03-01T00:00:00Z,172738,53104,103135,156239,0.904485406,,
13,Nagaland,2022-05-01T00:00:00Z,6184,1822,3771,5593,0.904430789,,
23,Madhya Pradesh,2020-09-01T00:00:00Z,374326,178043,160478,338521,0.904348082,,
34,Puducherry,2021-02-01T00:00:00Z,15666,7238,6926,14164,0.90412358,,
3,Punjab,2019-06-01T00:00:00Z,308875,180468,98758,279226,0.904009713,,
10,Bihar,2022-12-01T00:00:00Z,495564,157360,290532,447892,0.903802536,,
13,Nagaland,2022-04-01T00:00:00Z,6106,1754,3764,5518,0.903701277,,
21,Odisha,2021-04-01T00:00:00Z,149317,14755,120172,134927,0.903627852,,
,Madhya Pradesh,2025-03-01T00:00:00Z,492680,220352,224828,445180,0.903588536,,
27,Maharashtra,2018-02-01T00:00:00Z,352081,279040,39091,318131,0.903573325,,
4,Chandigarh,2018-01-01T00:00:00Z,9745,8292,513,8805,0.903540277,,
6,Haryana,2020-06-01T00:00:00Z,424733,204251,179485,383736,0.903475831,,
37,Andhra Pradesh,2021-03-01T00:00:00Z,290704,117554,145082,262636,0.903448181,,
37,Andhra Pradesh,2021-10-01T00:00:00Z,246243,121525,100940,222465,0.903436849,,
7,Delhi,2021-05-01T00:00:00Z,404491,53992,311393,365385,0.903320469,,
3,Punjab,2017-11-01T00:00:00Z,84375,73023,3194,76217,0.903312593,,
16,Tripura,2022-05-01T00:00:00Z,19277,8819,8592,17411,0.903200706,,
7,Delhi,2021-04-01T00:00:00Z,406536,48183,318879,367062,0.902901588,,
22,Chhattisgarh,2021-02-01T00:00:00Z,65739,22569,36786,59355,0.902888696,,
35,Andaman and Nicobar Islands,2021-06-01T00:00:00Z,4020,864,2765,3629,0.902736318,,
,Kerala,2025-03-01T00:00:00Z,361393,209985,116218,326203,0.90262678,,
32,Kerala,2019-12-01T00:00:00Z,302709,160850,112347,273197,0.902507028,,
36,Telangana,2022-09-01T00:00:00Z,424236,174486,208358,382844,0.902431665,,
,Jharkhand,2025-03-01T00:00:00Z,191754,84206,88793,172999,0.902192392,,
16,Tripura,2021-06-01T00:00:00Z,25145,7263,15417,22680,0.901968582,,
22,Chhattisgarh,2020-12-01T00:00:00Z,115872,66695,37815,104510,0.901943524,,
20,Jharkhand,2017-12-01T00:00:00Z,108087,76636,20849,97485,0.901912348,,
21,Odisha,2021-11-01T00:00:00Z,156106,103692,37095,140787,0.901867962,,
23,Madhya Pradesh,2019-09-01T00:00:00Z,359995,80485,244180,324665,0.901859748,,
9,Uttar Pradesh,2017-09-01T00:00:00Z,887856,632208,168490,800698,0.90183318,,
4,Chandigarh,2018-06-01T00:00:00Z,27243,19834,4731,24565,0.901699519,,
21,Odisha,2021-03-01T00:00:00Z,245647,80693,140805,221498,0.901692266,,
23,Madhya Pradesh,2019-03-01T00:00:00Z,346732,38372,274242,312614,0.901601237,,
21,Odisha,2021-09-01T00:00:00Z,259264,94071,139663,233734,0.901528943,,
2,Himachal Pradesh,2021-02-01T00:00:00Z,40011,18216,17855,36071,0.90152708,,
20,Jharkhand,2017-09-01T00:00:00Z,100685,73455,17289,90744,0.901266326,,
25,Daman and Diu,2020-02-01T00:00:00Z,3077,2328,445,2773,0.90120247,,
4,Chandigarh,2018-02-01T00:00:00Z,9830,8293,562,8855,0.900813835,,
26,Dadra and Nagar Haveli,2019-09-01T00:00:00Z,8395,3369,4193,7562,0.90077427,,
37,Andhra Pradesh,2021-04-01T00:00:00Z,237775,33628,180536,214164,0.900700242,,
32,Kerala,2020-06-01T00:00:00Z,303033,106886,166014,272900,0.900561985,,
37,Andhra Pradesh,2021-08-01T00:00:00Z,244806,106971,113430,220401,0.900308816,,
26,Dadra and Nagar Haveli,2019-11-01T00:00:00Z,3917,2059,1467,3526,0.900178708,,
27,Maharashtra,2019-12-01T00:00:00Z,1379433,874896,366820,1241716,0.900164053,,
18,Assam,2022-01-01T00:00:00Z,116485,42837,62015,104852,0.900133064,,
9,Uttar Pradesh,2021-02-01T00:00:00Z,652080,271211,315726,586937,0.900099681,,
37,Andhra Pradesh,2021-05-01T00:00:00Z,238690,27603,187231,214834,0.900054464,,
37,Andhra Pradesh,2021-07-01T00:00:00Z,242899,108440,110159,218599,0.899958419,,
13,Nagaland,2022-03-01T00:00:00Z,7214,1893,4599,6492,0.899916828,,
23,Madhya Pradesh,2019-06-01T00:00:00Z,353290,112241,205664,317905,0.89984149,,
16,Tripura,2022-01-01T00:00:00Z,18472,9061,7560,16621,0.899794283,,
20,Jharkhand,2020-02-01T00:00:00Z,59716,36278,17450,53728,0.899725367,,
5,Uttarakhand,2019-12-01T00:00:00Z,128458,72827,42700,115527,0.899336748,,
16,Tripura,2017-07-01T00:00:00Z,13528,10411,1755,12166,0.899319929,,
11,Sikkim,2017-09-01T00:00:00Z,3804,2770,651,3421,0.899316509,,
36,Telangana,2022-11-01T00:00:00Z,359722,173341,150111,323452,0.899172138,,
34,Puducherry,2020-02-01T00:00:00Z,13336,9563,2423,11986,0.898770246,,
6,Haryana,2020-09-01T00:00:00Z,444211,272954,126106,399060,0.898356862,,
1,Jammu and Kashmir,2021-02-01T00:00:00Z,44931,14318,26034,40352,0.89808818,,
23,Madhya Pradesh,2018-03-01T00:00:00Z,304929,201758,72064,273822,0.897986089,,
6,Haryana,2017-11-01T00:00:00Z,111025,94759,4929,99688,0.897887863,,
29,Karnataka,2017-12-01T00:00:00Z,556414,397527,102060,499587,0.897869212,,
22,Chhattisgarh,2020-03-01T00:00:00Z,107069,59043,37076,96119,0.897729502,,
38,Ladakh,2022-07-01T00:00:00Z,2354,698,1415,2113,0.897621071,,
32,Kerala,2020-03-01T00:00:00Z,304085,189686,83260,272946,0.897597711,,
,Telangana,2025-03-01T00:00:00Z,454173,229882,177716,407598,0.897450971,,
29,Karnataka,2021-02-01T00:00:00Z,525208,223519,247788,471307,0.897372089,,
4,Chandigarh,2017-08-01T00:00:00Z,9277,7966,358,8324,0.897272825,,
3,Punjab,2018-01-01T00:00:00Z,85473,73073,3605,76678,0.897102009,,
26,Dadra and Nagar Haveli,2019-03-01T00:00:00Z,8172,2141,5190,7331,0.897087616,,
11,Sikkim,2022-09-01T00:00:00Z,9386,2579,5838,8417,0.896761134,,
8,Rajasthan,2018-06-01T00:00:00Z,500417,337189,111555,448744,0.896740119,,
20,Jharkhand,2020-06-01T00:00:00Z,144577,49840,79800,129640,0.896684812,,
19,West Bengal,2017-07-01T00:00:00Z,347020,283210,27852,311062,0.896380612,,
8,Rajasthan,2017-11-01T00:00:00Z,119566,99286,7864,107150,0.896157771,,
1,Jammu and Kashmir,2020-12-01T00:00:00Z,84627,48387,27418,75805,0.89575431,,
32,Kerala,2021-01-01T00:00:00Z,237287,108630,103917,212547,0.895738072,,
21,Odisha,2021-08-01T00:00:00Z,154416,44580,93710,138290,0.895567817,,
33,Tamil Nadu,2020-06-01T00:00:00Z,879453,396084,391520,787604,0.895561218,,
13,Nagaland,2021-12-01T00:00:00Z,7036,2122,4179,6301,0.895537237,,
8,Rajasthan,2018-12-01T00:00:00Z,530594,100526,374606,475132,0.895471867,,
38,Ladakh,2022-08-01T00:00:00Z,2487,643,1584,2227,0.895456373,,
37,Andhra Pradesh,2017-12-01T00:00:00Z,215764,157114,36083,193197,0.895408873,,
6,Haryana,2017-10-01T00:00:00Z,109560,93762,4336,98098,0.895381526,,
11,Sikkim,2022-12-01T00:00:00Z,9604,3329,5270,8599,0.895356102,,
33,Tamil Nadu,2019-12-01T00:00:00Z,877850,502516,283306,785822,0.8951666,,
32,Kerala,2020-09-01T00:00:00Z,313197,193286,87069,280355,0.895139481,,
21,Odisha,2021-10-01T00:00:00Z,153178,54404,82702,137106,0.895076316,,
33,Tamil Nadu,2020-03-01T00:00:00Z,876639,568031,216627,784658,0.895075396,,
3,Punjab,2017-10-01T00:00:00Z,84164,72581,2721,75302,0.894705575,,
32,Kerala,2019-03-01T00:00:00Z,291194,51962,208441,260403,0.894259497,,
3,Punjab,2018-02-01T00:00:00Z,86098,72955,4028,76983,0.894132268,,
26,Dadra and Nagar Haveli,2021-02-01T00:00:00Z,10219,5981,3156,9137,0.894118798,,
25,Daman and Diu,2020-01-01T00:00:00Z,3105,1877,899,2776,0.894041868,,
3,Punjab,2021-02-01T00:00:00Z,144289,88853,40142,128995,0.894004394,,
18,Assam,2021-12-01T00:00:00Z,170879,58279,94486,152765,0.893995166,,
9,Uttar Pradesh,2018-03-01T00:00:00Z,913159,604953,211127,816080,0.893688832,,
21,Odisha,2021-07-01T00:00:00Z,151431,41423,93887,135310,0.893542273,,
35,Andaman and Nicobar Islands,2021-07-01T00:00:00Z,3295,921,2023,2944,0.893474962,,
2,Himachal Pradesh,2018-06-01T00:00:00Z,75206,51695,15476,67171,0.89316012,,
1,Jammu and Kashmir,2017-09-01T00:00:00Z,62528,44930,10914,55844,0.893103889,,
38,Ladakh,2021-03-01T00:00:00Z,4235,1073,2709,3782,0.893034238,,
22,Chhattisgarh,2019-03-01T00:00:00Z,102281,11481,79855,91336,0.892990878,,
13,Nagaland,2022-01-01T00:00:00Z,5943,1869,3438,5307,0.892983342,,
29,Karnataka,2017-09-01T00:00:00Z,553919,400740,93892,494632,0.892968105,,
13,Nagaland,2022-02-01T00:00:00Z,5997,1924,3430,5354,0.892779723,,
33,Tamil Nadu,2020-01-01T00:00:00Z,620078,296846,256578,553424,0.892507072,,
20,Jharkhand,2020-03-01T00:00:00Z,143561,79316,48770,128086,0.892206101,,
1,Jammu and Kashmir,2017-12-01T00:00:00Z,66074,45665,13278,58943,0.892075552,,
36,Telangana,2022-10-01T00:00:00Z,358309,165519,154112,319631,0.892054065,,
22,Chhattisgarh,2019-06-01T00:00:00Z,104773,27682,65777,93459,0.892014164,,
18,Assam,2021-09-01T00:00:00Z,165468,60841,86753,147594,0.891979114,,
23,Madhya Pradesh,2018-06-01T00:00:00Z,322204,194831,92515,287346,0.891813882,,
37,Andhra Pradesh,2017-07-01T00:00:00Z,198028,149926,26659,176585,0.891717333,,
9,Uttar Pradesh,2019-12-01T00:00:00Z,1127354,624423,380850,1005273,0.891710146,,
33,Tamil Nadu,2017-12-01T00:00:00Z,712131,523313,111684,634997,0.891685659,,
6,Haryana,2019-09-01T00:00:00Z,423483,162525,215051,377576,0.891596593,,
22,Chhattisgarh,2019-09-01T00:00:00Z,107458,21696,74104,95800,0.891511102,,
29,Karnataka,2017-11-01T00:00:00Z,324721,250616,38871,289487,0.891494545,,
8,Rajasthan,2019-09-01T00:00:00Z,559918,199263,299886,499149,0.891468036,,
5,Uttarakhand,2020-12-01T00:00:00Z,140248,89694,35308,125002,0.891292567,,
,Tripura,2025-03-01T00:00:00Z,28924,10970,14809,25779,0.891266768,,
34,Puducherry,2021-01-01T00:00:00Z,15728,6751,7266,14017,0.891213123,,
20,Jharkhand,2020-12-01T00:00:00Z,155521,97125,41476,138601,0.891204403,,
33,Tamil Nadu,2017-09-01T00:00:00Z,700632,523129,101264,624393,0.891185387,,
22,Chhattisgarh,2020-09-01T00:00:00Z,113499,48332,52811,101143,0.891135605,,
29,Karnataka,2017-10-01T00:00:00Z,318679,248455,35517,283972,0.891091035,,
29,Karnataka,2019-12-01T00:00:00Z,723207,383704,260671,644375,0.89099663,,
11,Sikkim,2018-03-01T00:00:00Z,4449,2805,1159,3964,0.890986739,,
36,Telangana,2023-01-01T00:00:00Z,367733,181970,145578,327548,0.890722345,,
19,West Bengal,2021-09-01T00:00:00Z,628364,305632,254030,559662,0.890665283,,
27,Maharashtra,2020-06-01T00:00:00Z,1376699,483334,742824,1226158,0.890650752,,
23,Madhya Pradesh,2020-02-01T00:00:00Z,118866,77968,27896,105864,0.890616324,,
19,West Bengal,2021-11-01T00:00:00Z,368781,268059,60251,328310,0.890257361,,
2,Himachal Pradesh,2018-09-01T00:00:00Z,79070,39513,30876,70389,0.890211205,,
35,Andaman and Nicobar Islands,2021-04-01T00:00:00Z,3346,357,2621,2978,0.890017932,,
10,Bihar,2021-09-01T00:00:00Z,418128,140888,231169,372057,0.889816037,,
7,Delhi,2017-08-01T00:00:00Z,156654,131398,7977,139375,0.889699593,,
2,Himachal Pradesh,2019-12-01T00:00:00Z,88745,57329,21620,78949,0.889616316,,
6,Haryana,2021-02-01T00:00:00Z,231251,121858,83848,205706,0.889535613,,
38,Ladakh,2020-03-01T00:00:00Z,3014,1388,1293,2681,0.889515594,,
6,Haryana,2018-01-01T00:00:00Z,113833,95230,6024,101254,0.889496016,,
32,Kerala,2019-09-01T00:00:00Z,301836,82599,185794,268393,0.889201421,,
32,Kerala,2020-02-01T00:00:00Z,174499,118780,36377,155157,0.889156958,,
,Chhattisgarh,2025-03-01T00:00:00Z,148810,70588,61714,132302,0.889066595,,
36,Telangana,2017-07-01T00:00:00Z,201614,154366,24850,179216,0.888906524,,
97,Other Territory,2018-02-01T00:00:00Z,45,39,1,40,0.888888889,,
30,Goa,2017-08-01T00:00:00Z,10774,8605,971,9576,0.888806386,,
35,Andaman and Nicobar Islands,2020-06-01T00:00:00Z,3825,1137,2262,3399,0.888627451,,
37,Andhra Pradesh,2018-03-01T00:00:00Z,226630,155869,45516,201385,0.888606981,,
35,Andaman and Nicobar Islands,2021-05-01T00:00:00Z,3343,266,2704,2970,0.888423572,,
,Odisha,2025-03-01T00:00:00Z,315967,120401,160299,280700,0.888383914,,
,Meghalaya,2025-03-01T00:00:00Z,28105,7763,17196,24959,0.888062622,,
10,Bihar,2022-11-01T00:00:00Z,292666,100596,159302,259898,0.888036191,,
26,Dadra and Nagar Haveli,2019-06-01T00:00:00Z,8364,3920,3506,7426,0.887852702,,
32,Kerala,2019-06-01T00:00:00Z,295913,98773,163927,262700,0.88776093,,
30,Goa,2017-11-01T00:00:00Z,11570,8962,1308,10270,0.887640449,,
27,Maharashtra,2020-03-01T00:00:00Z,1380633,751562,473680,1225242,0.887449453,,
5,Uttarakhand,2020-06-01T00:00:00Z,130093,48813,66617,115430,0.887288325,,
,Goa,2025-03-01T00:00:00Z,39379,24339,10596,34935,0.887147972,,
5,Uttarakhand,2021-02-01T00:00:00Z,69175,27077,34281,61358,0.886996747,,
29,Karnataka,2020-12-01T00:00:00Z,769503,536807,145305,682112,0.886431892,,
9,Uttar Pradesh,2020-12-01T00:00:00Z,1231355,795860,295609,1091469,0.886396693,,
6,Haryana,2018-06-01T00:00:00Z,381930,263247,75260,338507,0.886306391,,
27,Maharashtra,2020-09-01T00:00:00Z,1408098,737066,510839,1247905,0.886234481,,
23,Madhya Pradesh,2021-01-01T00:00:00Z,171744,56135,96048,152183,0.886103736,,
14,Manipur,2022-09-01T00:00:00Z,11322,2757,7275,10032,0.886062533,,
22,Chhattisgarh,2018-12-01T00:00:00Z,101564,15012,74960,89972,0.88586507,,
30,Goa,2017-10-01T00:00:00Z,11292,8877,1125,10002,0.88575983,,
29,Karnataka,2017-08-01T00:00:00Z,312358,244243,32366,276609,0.885551194,,
29,Karnataka,2019-09-01T00:00:00Z,709880,201230,427285,628515,0.885382036,,
35,Andaman and Nicobar Islands,2020-09-01T00:00:00Z,3868,1474,1950,3424,0.885211996,,
37,Andhra Pradesh,2017-09-01T00:00:00Z,216950,158358,33664,192022,0.885097949,,
10,Bihar,2022-10-01T00:00:00Z,287213,89450,164761,254211,0.88509573,,
16,Tripura,2021-11-01T00:00:00Z,18561,13173,3254,16427,0.885027746,,
5,Uttarakhand,2017-07-01T00:00:00Z,85370,59399,16154,75553,0.885006443,,
19,West Bengal,2018-06-01T00:00:00Z,511502,329629,123023,452652,0.884946686,,
6,Haryana,2018-02-01T00:00:00Z,115406,95413,6692,102105,0.884746027,,
24,Gujarat,2020-02-01T00:00:00Z,294413,224639,35812,260451,0.884645039,,
38,Ladakh,2021-06-01T00:00:00Z,4565,850,3187,4037,0.884337349,,
6,Haryana,2017-08-01T00:00:00Z,106224,90425,3509,93934,0.8843011,,
16,Tripura,2021-10-01T00:00:00Z,18377,8219,8031,16250,0.884257496,,
2,Himachal Pradesh,2018-12-01T00:00:00Z,82700,13152,59974,73126,0.884232164,,
18,Assam,2021-06-01T00:00:00Z,156288,31247,106942,138189,0.884194564,,
34,Puducherry,2020-01-01T00:00:00Z,13562,6083,5908,11991,0.884161628,,
18,Assam,2021-08-01T00:00:00Z,116164,34265,68439,102704,0.884129334,,
8,Rajasthan,2018-01-01T00:00:00Z,121543,98827,8625,107452,0.884065722,,
7,Delhi,2017-10-01T00:00:00Z,164695,136316,9273,145589,0.883991621,,
26,Dadra and Nagar Haveli,2020-02-01T00:00:00Z,4015,3139,410,3549,0.883935243,,
26,Dadra and Nagar Haveli,2020-01-01T00:00:00Z,4000,2576,959,3535,0.88375,,
38,Ladakh,2021-09-01T00:00:00Z,4967,1389,3000,4389,0.883631971,,
8,Rajasthan,2021-01-01T00:00:00Z,254447,109499,115335,224834,0.883618199,,
11,Sikkim,2017-11-01T00:00:00Z,1983,1445,307,1752,0.883509834,,
30,Goa,2018-06-01T00:00:00Z,29346,18231,7690,25921,0.883289034,,
16,Tripura,2017-09-01T00:00:00Z,16398,11658,2823,14481,0.883095499,,
,Mizoram,2025-03-01T00:00:00Z,7878,1516,5441,6957,0.883092155,,
29,Karnataka,2018-03-01T00:00:00Z,590015,389982,131016,520998,0.883025008,,
32,Kerala,2020-01-01T00:00:00Z,175450,76635,78288,154923,0.883003705,,
20,Jharkhand,2018-03-01T00:00:00Z,117217,73740,29709,103449,0.882542635,,
18,Assam,2021-11-01T00:00:00Z,117992,71116,33001,104117,0.882407282,,
26,Dadra and Nagar Haveli,2021-01-01T00:00:00Z,10244,5615,3422,9037,0.882174932,,
8,Rajasthan,2019-03-01T00:00:00Z,551432,79540,406885,486425,0.882112391,,
8,Rajasthan,2017-10-01T00:00:00Z,119115,98715,6356,105071,0.882097133,,
30,Goa,2021-12-01T00:00:00Z,36434,16657,15479,32136,0.882033266,,
8,Rajasthan,2018-02-01T00:00:00Z,122081,98438,9214,107652,0.88180798,,
19,West Bengal,2021-06-01T00:00:00Z,622937,218468,330807,549275,0.881750482,,
17,Meghalaya,2022-09-01T00:00:00Z,28240,6866,18031,24897,0.881621813,,
27,Maharashtra,2017-08-01T00:00:00Z,336894,274069,22921,296990,0.881553248,,
17,Meghalaya,2022-12-01T00:00:00Z,28406,8074,16967,25041,0.881539111,,
9,Uttar Pradesh,2020-06-01T00:00:00Z,1134575,396346,603753,1000099,0.881474561,,
11,Sikkim,2021-12-01T00:00:00Z,8632,2939,4669,7608,0.88137164,,
35,Andaman and Nicobar Islands,2021-02-01T00:00:00Z,3100,829,1903,2732,0.881290323,,
30,Goa,2022-11-01T00:00:00Z,25338,12825,9504,22329,0.88124556,,
7,Delhi,2017-11-01T00:00:00Z,167887,137732,10207,147939,0.881181986,,
19,West Bengal,2021-03-01T00:00:00Z,619161,266712,278835,545547,0.881106853,,
19,West Bengal,2018-09-01T00:00:00Z,536002,255773,216499,472272,0.88110119,,
34,Puducherry,2020-12-01T00:00:00Z,20149,14250,3502,17752,0.88103628,,
6,Haryana,2018-09-01T00:00:00Z,399083,194769,156770,351539,0.880866887,,
37,Andhra Pradesh,2017-10-01T00:00:00Z,129192,102060,11713,113773,0.880650505,,
29,Karnataka,2018-01-01T00:00:00Z,333690,246359,47323,293682,0.880104288,,
29,Karnataka,2020-01-01T00:00:00Z,443230,194070,195997,390067,0.880055502,,
27,Maharashtra,2021-01-01T00:00:00Z,685313,269508,333467,602975,0.879853439,,
30,Goa,2022-10-01T00:00:00Z,24904,13046,8862,21908,0.87969804,,
18,Assam,2021-07-01T00:00:00Z,113087,28698,70778,99476,0.879641338,,
16,Tripura,2021-05-01T00:00:00Z,17996,1729,14101,15830,0.87963992,,
20,Jharkhand,2019-12-01T00:00:00Z,147404,72364,57248,129612,0.879297712,,
30,Goa,2018-01-01T00:00:00Z,11769,8863,1485,10348,0.87925907,,
21,Odisha,2019-12-01T00:00:00Z,222288,102150,93298,195448,0.87925574,,
18,Assam,2021-10-01T00:00:00Z,116084,38615,63438,102053,0.87913063,,
,Manipur,2025-02-01T00:00:00Z,9570,2797,5616,8413,0.879101358,,
1,Jammu and Kashmir,2017-07-01T00:00:00Z,52455,38766,7339,46105,0.878943857,,
29,Karnataka,2021-01-01T00:00:00Z,526610,207855,255002,462857,0.878936974,,
16,Tripura,2021-03-01T00:00:00Z,25465,9462,12918,22380,0.878853328,,
37,Andhra Pradesh,2017-11-01T00:00:00Z,132744,103504,13140,116644,0.878713916,,
38,Ladakh,2020-06-01T00:00:00Z,3108,954,1777,2731,0.878700129,,
33,Tamil Nadu,2017-11-01T00:00:00Z,452148,354149,43151,397300,0.878694587,,
14,Manipur,2022-12-01T00:00:00Z,11767,3036,7303,10339,0.878643664,,
33,Tamil Nadu,2017-10-01T00:00:00Z,444591,351203,39418,390621,0.878607529,,
30,Goa,2022-06-01T00:00:00Z,37823,18336,33105,33228,0.878513074,,
29,Karnataka,2020-02-01T00:00:00Z,443322,301218,88207,389425,0.878424712,,
11,Sikkim,2022-03-01T00:00:00Z,8941,2866,4985,7851,0.878089699,,
37,Andhra Pradesh,2018-01-01T00:00:00Z,134716,102518,15767,118285,0.878032305,,
30,Goa,2018-09-01T00:00:00Z,30576,14192,12640,26832,0.87755102,,
30,Goa,2022-03-01T00:00:00Z,37269,16919,15786,32705,0.877538973,,
35,Andaman and Nicobar Islands,2020-12-01T00:00:00Z,4014,2186,1336,3522,0.877428999,,
11,Sikkim,2021-03-01T00:00:00Z,7885,2399,4519,6918,0.87736208,,
21,Odisha,2017-07-01T00:00:00Z,139875,96806,25915,122721,0.87736193,,
37,Andhra Pradesh,2021-02-01T00:00:00Z,211125,83653,101554,185207,0.877238603,,
33,Tamil Nadu,2018-03-01T00:00:00Z,750910,520158,138332,658490,0.876922667,,
14,Manipur,2022-11-01T00:00:00Z,9502,2326,6003,8329,0.876552305,,
