state_code,state_name,YEAR,MONTH,no_suppliers_intra_state,no_eway_bills_intra_state,asset_value_intra_state,no_suppliers_inter_state_outward,no_eway_bills_inter_state_outward,asset_value_inter_state_outward,no_suppliers_inter_state_inward,no_eway_bills_inter_state_inward,asset_value_inter_state_inward
32,KERALA,2020,8,33125,1100502,16137.34527,11871,123633,6419.424437,43962,472998,14097.27201
33,TAMIL NADU,2020,8,68327,3149795,61702.94785,58676,1555376,57001.58838,94033,1330081,52517.83819
34,PUDUCHERRY,2020,8,835,29805,814.5094926,1651,83352,2524.337385,4616,79183,2157.566354
35,ANDAMAN AND NICOBAR,2020,8,11,284,14.22903496,46,127,19.48718657,643,4648,133.2047808
36,TELANGANA,2020,8,31640,1422879,24061.05868,27204,535608,22458.35219,51508,776394,28963.30139
37,ANDHRA PRADESH,2020,8,27249,1195714,20539.48926,17547,341166,25080.04704,59359,659884,24971.91633
38,LADAKH,2020,8,21,387,19.12550133,31,240,5.468362575,714,6971,188.9379767
97,Other Territory,2020,8,3,97,112.887527,24,2860,864.472832,132,8866,1849.933255
1,JAMMU AND KASHMIR,2020,7,3853,153002,2600.495351,2252,33468,2705.639657,16919,184344,5265.295677
2,HIMACHAL PRADESH,2020,7,6920,233089,4307.475103,4711,232747,9748.199734,19688,277656,7906.79504
3,PUNJAB,2020,7,54860,1457292,29142.61408,42502,746980,20997.01061,59441,764392,22892.27385
4,CHANDIGARH,2020,7,1921,21406,314.4450195,4558,71535,1305.417967,7183,94079,1928.328607
5,UTTARAKHAND,2020,7,10230,478909,7706.496412,7336,297618,14701.76614,21079,392683,11240.17919
6,HARYANA,2020,7,58961,2293309,37570.34887,53252,2320056,51054.19287,84374,1401793,49583.2531
7,DELHI,2020,7,51938,692241,24395.95419,103819,1200672,31490.23207,97198,1075566,34538.04657
8,RAJASTHAN,2020,7,65426,1547579,28844.98285,44371,1077449,26797.19954,84894,996616,30303.73721
9,UTTAR PRADESH,2020,7,98120,2834860,59368.95727,64170,1072686,49688.92699,151516,1746880,59808.93855
10,BIHAR,2020,7,5247,345002,6650.78877,4951,48797,2113.236146,45982,418802,11926.44475
11,SIKKIM,2020,7,92,1756,29.29126136,111,3572,1774.321034,1157,16803,617.8485419
12,ARUNACHAL PRADESH,2020,7,80,914,17.29598869,119,946,53.58377182,1719,11514,277.9865759
13,NAGALAND,2020,7,78,726,33.70052508,188,6053,53.34806139,1795,16045,382.1608959
14,MANIPUR,2020,7,51,2942,48.81046331,71,278,14.4790006,2091,35113,541.5101527
15,MIZORAM,2020,7,27,577,8.263518291,53,198,15.63219208,1601,24040,372.5516234
16,TRIPURA,2020,7,943,18758,319.3107262,304,2265,171.9599921,3498,27968,638.5091702
17,MEGHALAYA,2020,7,267,8350,152.4237649,284,19803,387.8294238,2441,26066,590.3342656
18,ASSAM,2020,7,9026,256659,5092.112354,6643,123996,5084.298735,19575,182225,7083.473163
19,WEST BENGAL,2020,7,34265,1338247,32260.08682,32916,534102,24528.57214,50613,778184,30342.37635
20,JHARKHAND,2020,7,7897,363653,7285.543033,6736,172583,9107.884655,22806,263088,8996.000667
21,ODISHA,2020,7,11694,636552,12805.79997,4628,188156,16491.4468,27357,293030,17262.31567
22,CHHATTISGARH,2020,7,4775,168982,4668.90554,6853,149544,9692.945112,20898,306301,9951.072428
23,MADHYA PRADESH,2020,7,14710,385283,7634.606642,17952,329813,16215.937,63036,725961,21151.51861
24,GUJARAT,2020,7,114769,2874099,72713.10577,111084,2581762,81253.49473,105010,1185503,53609.70599
25,DAMAN AND DIU,2020,7,990,26658,710.9546823,1574,124260,3285.702823,1999,56540,2335.517266
26,DADRA AND NAGAR HAVELI,2020,7,1208,48638,1652.501024,1859,173660,7339.419914,2613,86236,5029.052367
27,MAHARASHTRA,2020,7,96408,3664582,86911.81131,85352,2619281,88823.08495,146026,1679134,78490.64839
29,KARNATAKA,2020,7,74875,2879267,47161.46375,37085,1044159,39641.72658,87498,1216595,44969.44355
30,GOA,2020,7,1332,50306,871.3890407,1365,49562,3696.005343,5310,80684,3139.040171
31,LAKSHADWEEP,2020,7,0,0,0,3,3,0.056086,34,397,5.834860213
32,KERALA,2020,7,31710,999542,14496.17015,11276,119590,6210.350455,43229,445196,13251.16882
33,TAMIL NADU,2020,7,66124,2946800,57732.51363,56435,1458438,52722.23647,90528,1205930,49748.84108
34,PUDUCHERRY,2020,7,856,31693,909.509085,1649,81969,2666.394062,4566,77080,2194.207031
35,ANDAMAN AND NICOBAR,2020,7,12,269,10.08195407,52,187,24.26999166,838,8509,184.8033314
36,TELANGANA,2020,7,31714,1468262,24512.3098,26850,526518,21623.93457,52370,792905,32522.73587
37,ANDHRA PRADESH,2020,7,27380,1154842,19303.32942,16991,341569,23259.09356,57749,645563,24115.90265
38,LADAKH,2020,7,20,660,27.97965678,25,214,5.778041114,718,7116,197.699296
